country,year,gdp,pop,unemp
LU,2006,48.7101986754967,0.472637,4.69999980926514
LU,2007,52.7997350993377,0.479993,4.09999990463257
LU,2008,52.354569536423796,0.48865,5.09999990463257
LV,2005,24.315402755696898,2.238799,8.89999961853027
LV,2006,27.2063553259142,2.218357,6.80000019073486
LV,2007,29.913222045575,2.200325,6
LV,2008,28.8336791202968,2.177322,7.40000009536743
LY,2005,61.7140490451692,5.801543,19.5
LY,2006,65.7257999490192,5.907149,19.2999992370605
LY,2007,69.9009111089382,6.017794,19.1000003814697
LY,2008,71.76541710849581,6.123022,18.7999992370605
MA,2005,73.0140760045985,30.385479,11
MA,2006,78.5446233106445,30.691434,9.69999980926514
MA,2007,81.3187517990351,31.011322,9.80000019073486
MA,2008,86.13522123645039,31.350544,9.60000038146973
MC,2005,NA,0.033808,NA
MC,2006,NA,0.034384,NA
MC,2007,NA,0.035046,NA
MC,2008,NA,0.035731,NA
MD,2005,4.96091088153213,3.595187,7.30000019073486
MD,2006,5.19903459733391,3.585209,7.40000009536743
MD,2007,5.3550056455935495,3.57691,5.09999990463257
MD,2008,5.77269609131765,3.570108,4
ME,2005,3.33323240958066,0.614261,19.5
ME,2006,3.6187651905710903,0.615025,18.2000007629395
ME,2007,4.00444956292022,0.615875,19.3999996185303
ME,2008,4.28166157560172,0.616969,16.7999992370605
MF,2005,NA,0.027906,NA
MF,2006,NA,0.028414,NA
MF,2007,NA,0.028905,NA
MF,2008,NA,0.029376,NA
MG,2005,7.588974026877961,18.290394,2.59999990463257
MG,2006,7.97013836775655,18.826129,3.90000009536743
MG,2007,8.4675211052625,19.371031,4.09999990463257
MG,2008,9.071129493653249,19.926798,4.30000019073486
MH,2005,0.15168420452210998,0.052058,NA
MH,2006,0.154601864559759,0.05208,NA
MH,2007,0.16009746766170202,0.052136,NA
MH,2008,0.157478477168019,0.052221,NA
MK,2005,7.73639674921033,2.042894,37.2999992370605
MK,2006,8.13381739681345,2.04733,36
MK,2007,8.66035899701112,2.051427,34.9000015258789
MK,2008,9.13422887994995,2.055266,33.7999992370605
ML,2005,8.52727341425,12.881384,8.5
ML,2006,8.924830836573731,13.309942,8.30000019073486
ML,2007,9.236630227001418,13.759226,8.5
ML,2008,9.67752993879202,14.223403,8.39999961853027
MM,2005,29.275358077567798,49.984704,3.40000009536743
MM,2006,33.1034335790849,50.355559,3.40000009536743
MM,2007,37.0730103788498,50.698814,3.29999995231628
MM,2008,40.8749608115854,51.030006,3.5
MN,2005,5.25276515297931,2.526447,6.90000009536743
MN,2006,5.7022040734079,2.558484,5.90000009536743
MN,2007,6.28656687973681,2.592776,7.19999980926514
MN,2008,6.846094463212459,2.629666,5.59999990463257
MO,2005,16.5257323360536,0.468149,4.19999980926514
MO,2006,18.7259963920697,0.479728,3.70000004768372
MO,2007,21.4314440707025,0.493022,3
MO,2008,22.158776481721002,0.507274,3
MP,2005,NA,0.064372,NA
MP,2006,NA,0.062235,NA
MP,2007,NA,0.059791,NA
MP,2008,NA,0.057343,NA
MR,2005,3.38659552272714,3.154087,32.0999984741211
MR,2006,4.02561559603959,3.241762,31.7999992370605
MR,2007,4.13905087261895,3.328285,31.3999996185303
MR,2008,4.18375126306351,3.414552,31.2000007629395
MT,2005,7.9091390728476805,0.403834,7.30000019073486
MT,2006,8.05377483443709,0.405308,6.90000009536743
MT,2007,8.37483443708609,0.406724,6.5
MT,2008,8.655099337748341,0.409379,6
MU,2005,7.67068814461197,1.228254,9.60000038146973
MU,2006,8.32563110621805,1.233996,9.10000038146973
MU,2007,8.8024413440254,1.23963,8.5
MU,2008,9.27662556338438,1.244121,7.19999980926514
MV,2005,1.53872451052075,0.321,13.5
MV,2006,1.84474730715336,0.333,14.3999996185303
MV,2007,2.0323947456969,0.349,12.6000003814697
MV,2008,2.28993484324323,0.362,12.6000003814697
MW,2005,4.86527101919017,12.747846,7.90000009536743
MW,2006,5.0939387570921095,13.112383,7.80000019073486
MW,2007,5.58295687760198,13.498377,7.5
MW,2008,6.009480087262499,13.904671,7.5
MX,2005,955.4845153655721,109.747906,3.5
MX,2006,1002.7285843233101,111.382857,3.20000004768372
MX,2007,1034.85724168887,113.139374,3.40000009536743
